epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9718,1.65053,2.34056,1.61987,0.50952,0.47119,0.47453,0.21813,1.74855,2.83188,1.85538,0.000662722,0.000662722,0.000662722
2,53.2209,1.72697,1.93364,1.72407,0.16856,0.34209,0.10826,0.04666,2.09255,3.76344,2.13261,0.00131623,0.00131623,0.00131623
3,78.2446,1.78944,1.90853,1.74904,0.48193,0.44128,0.41607,0.17397,1.89832,2.8117,1.89266,0.00195653,0.00195653,0.00195653
4,103.307,1.7645,1.80784,1.69692,0.45651,0.45399,0.41884,0.18372,1.82915,2.01395,1.88408,0.0019406,0.0019406,0.0019406
5,128.261,1.74195,1.82245,1.68455,0.58901,0.48286,0.51006,0.25281,1.71969,1.98374,1.75431,0.0019208,0.0019208,0.0019208
6,153.359,1.70855,1.76776,1.69385,0.62556,0.53829,0.6044,0.3072,1.63256,2.0655,1.67693,0.001901,0.001901,0.001901
7,178.149,1.706,1.74918,1.67376,0.48883,0.57914,0.43772,0.21928,1.63433,1.92086,1.66198,0.0018812,0.0018812,0.0018812
8,203.634,1.66386,1.64703,1.6511,0.67438,0.60175,0.67912,0.36056,1.60365,1.48324,1.67103,0.0018614,0.0018614,0.0018614
9,228.569,1.59543,1.59747,1.58819,0.65961,0.5857,0.65361,0.35411,1.53764,1.49203,1.58228,0.0018416,0.0018416,0.0018416
10,254.639,1.59023,1.55899,1.59684,0.69074,0.6598,0.70243,0.38632,1.50508,1.42675,1.56487,0.0018218,0.0018218,0.0018218
11,281.611,1.54256,1.47159,1.5578,0.74851,0.64258,0.73237,0.39211,1.52229,1.36337,1.58233,0.001802,0.001802,0.001802
12,306.782,1.53785,1.45141,1.55664,0.70833,0.70145,0.74585,0.41849,1.4828,1.33005,1.56043,0.0017822,0.0017822,0.0017822
13,331.878,1.52729,1.48578,1.53345,0.74537,0.70247,0.77122,0.44502,1.42424,1.24395,1.49805,0.0017624,0.0017624,0.0017624
14,356.988,1.51385,1.36766,1.51684,0.73101,0.71772,0.78,0.44831,1.44261,1.24636,1.52183,0.0017426,0.0017426,0.0017426
15,382.176,1.50126,1.42016,1.5254,0.75947,0.6725,0.76683,0.44075,1.43422,1.22133,1.48325,0.0017228,0.0017228,0.0017228
16,408.05,1.45242,1.35727,1.49092,0.75614,0.74325,0.80571,0.48112,1.34814,1.13467,1.43154,0.001703,0.001703,0.001703
17,433.458,1.47675,1.3751,1.49873,0.74521,0.71699,0.79315,0.47953,1.37659,1.14872,1.45761,0.0016832,0.0016832,0.0016832
18,458.533,1.43807,1.33251,1.47393,0.72987,0.69766,0.76538,0.45984,1.35217,1.18568,1.43248,0.0016634,0.0016634,0.0016634
